Vehicle ID,Vehicle Type,Bad Parts,Employee ID,Employee Name,Start Time,End Time,Fix Time,Cost
1,CAR,7,1,Eric,17 s,1:21:46,1:22:3,£179.29
3,BIKE,9,3,Julia,24 s,1:21:46,1:22:10,£200.29
2,BIKE,8,2,John,28 s,1:21:46,1:22:14,£215.75
5,CAR,9,1,Eric,25 s,1:22:3,1:22:28,£214.02
4,CAR,13,4,Juliet,43 s,1:21:46,1:22:29,£346.47
7,CAR,10,2,John,26 s,1:22:14,1:22:40,£236.35
6,CAR,10,3,Julia,35 s,1:22:10,1:22:45,£276.75
9,CAR,9,4,Juliet,24 s,1:22:29,1:22:53,£173.52
8,BIKE,10,1,Eric,30 s,1:22:28,1:22:58,£188.18
10,BIKE,8,2,John,26 s,1:22:40,1:23:6,£195.09
11,CAR,7,3,Julia,21 s,1:22:45,1:23:6,£164.81
13,CAR,12,1,Eric,32 s,1:22:58,1:23:30,£287.66
15,CAR,8,3,Julia,25 s,1:23:7,1:23:32,£185.81
12,BIKE,12,4,Juliet,39 s,1:22:54,1:23:33,£333.75
14,CAR,9,2,John,32 s,1:23:7,1:23:39,£199.81

Vehicles,15,Employees,4,Total Earned,3397.55
