Vehicle ID,Vehicle Type,Bad Parts,Employee ID,Employee Name,Start Time,End Time,Fix Time,Cost
3,BIKE,5,3,Julia,13 s,10:29:53,10:30:6,£120.40
1,CAR,8,1,Eric,21 s,10:29:53,10:30:14,£150.59
2,BIKE,7,2,John,24 s,10:29:53,10:30:17,£131.32
4,BIKE,10,4,Juliet,28 s,10:29:53,10:30:21,£239.59
6,BIKE,5,1,Eric,16 s,10:30:14,10:30:30,£113.82
5,CAR,6,3,Julia,25 s,10:30:6,10:30:31,£186.71
8,CAR,6,4,Juliet,22 s,10:30:22,10:30:44,£114.25
7,BIKE,9,2,John,30 s,10:30:17,10:30:47,£170.80
9,CAR,9,1,Eric,24 s,10:30:30,10:30:54,£181.33
11,CAR,11,4,Juliet,29 s,10:30:44,10:31:13,£281.56
10,CAR,13,3,Julia,43 s,10:30:31,10:31:14,£282.83
13,BIKE,10,1,Eric,28 s,10:30:54,10:31:22,£309.90
15,CAR,7,3,Julia,14 s,10:31:15,10:31:29,£187.56
12,CAR,14,2,John,49 s,10:30:47,10:31:36,£270.09
14,CAR,11,4,Juliet,25 s,10:31:13,10:31:38,£268.45
16,CAR,6,1,Eric,22 s,10:31:23,10:31:45,£96.31
17,BIKE,5,3,Julia,20 s,10:31:29,10:31:49,£90.32

Vehicles,17,Employees,4,Total Earned,3195.85
